company,language,Repositories_count
Carnegie Mellon University,C++,2
Casewise,JavaScript,2
Catalyst IT,Objective-C,2
Catalyst IT,Rust,2
Blue Horseshoe,C#,2
"Available (Berlin, Hamburg, Athens, wordwide)",Shell,2
Adzerk,Java,2
Agiliq,Shell,2
Agile N Co and Agile Tribu,Java,2
Agile N Co and Agile Tribu,JavaScript,2
Agiliq,CoffeeScript,2
Agiliq,Java,2
Agiliq,Objective-C,2
Agiliq,Ruby,2
Agiliq,Swift,2
Automattic,Shell,2
Albert.io,Java,2
Alfresco,JavaScript,2
Alfresco,PHP,2
Alliants,VimL,2
Aloudly Education,CoffeeScript,2
"Android Engineer @ Musixmatch, Android GDE",Shell,2
Japan,Shell,2
,VimL,2
Nokia,Ruby,2
NLB,C++,2
Nokia gate5,C++,2
Mesa Funds,D,2
Lowe's Home Improvement,Java,2
Mascoteros.com,JavaScript,2
NLB,CSS,2
Marcel Digital,Python,2
Marcel Digital,JavaScript,2
Nokia,JavaScript,2
Nokia,Java,2
NLB,Lex,2
Mesa Funds,HTML,2
Microsoft,C#,2
NLB,XProc,2
"NetBrains, Sturdy Networks, and Usability.Pro",Java,2
LiSC,PHP,2
Kushview,Objective-C,2
Lighthouse Software Solutions,C#,2
Kushview,Ruby,2
Naeka,Python,2
LinkedIn,C++,2
LinkedIn,Java,2
LinkedIn,VimL,2
"Localize, Techstars, YC",Ruby,2
National University of Singapore,Python,2
Microsoft,PHP,2
National University of Singapore,JavaScript,2
Lowe's Home Improvement,CoffeeScript,2
Mesa Funds,Cuda,2
Lowe's Home Improvement,PHP,2
LBNL,JavaScript,2
LBNL,Python,2
MoneyDesktop,VimL,2
Mozilla,CSS,2
Lanetix,C#,2
MeYou Health,HTML,2
NLB,C,2
Mylittlejob GmbH,Python,2
LINE Fukuoka,CSS,2
Media 24,JavaScript,2
BaristaVentures,HTML,1
"Android Engineer @ Musixmatch, Android GDE",TeX,1
MoneyDesktop,C,1
"Android Engineer @ Musixmatch, Android GDE",Python,1
"Android Engineer @ Musixmatch, Android GDE",CSS,1
Autodesk,Java,1
"Android Engineer @ Musixmatch, Android GDE",C++,1
"Android Engineer @ Musixmatch, Android GDE",Ada,1
BaristaVentures,Emacs Lisp,1
Owl Unit,Go,1
MoneyDesktop,JavaScript,1
Owl Unit,Python,1
Alliants,Go,1
BaristaVentures,Shell,1
Webpuppies Singapore,PHP,1
Angelic Computing,JavaScript,1
Balabit,Python,1
BaristaVentures,Common Lisp,1
Apptaris Inc.,Ruby,1
Automattic,PHP,1
Autodesk,HTML,1
VMware,Shell,1
Autodesk,CoffeeScript,1
VMware,Scala,1
Autodesk,Arduino,1
Atomix System Ltd,PHP,1
Microsoft,PowerShell,1
BaristaVentures,C,1
Apptaris Inc.,JavaScript,1
VMware,C,1
"Available (Berlin, Hamburg, Athens, wordwide)",HTML,1
Owl Unit,Objective-C,1
Balabit,PHP,1
Autodesk,Python,1
Apptaris Inc.,C#,1
Remitly.com,Objective-C,1
University of Szeged,Java,1
Berlin,C,1
Calibreworks,CSS,1
Meruvian,CSS,1
Calibreworks,Ruby,1
University of Michigan,Arduino,1
Meruvian,C#,1
"University of California, Irvine",Shell,1
"University of California, Irvine",Python,1
Carnegie Mellon University,HTML,1
Carnegie Mellon University,Java,1
"University of California, Irvine",Go,1
Carnegie Mellon University,JavaScript,1
Carnegie Mellon University,Lua,1
Universal Solutions,PHP,1
Universal Solutions,JavaScript,1
Carnegie Mellon University,Matlab,1
Paperpile,Python,1
Unboxed Consulting,CoffeeScript,1
Umbo CV,VimL,1
Meltwater,Puppet,1
Umbo CV,Python,1
Umbo CV,Matlab,1
Paperpile,Ruby,1
Umbo CV,Jupyter Notebook,1
Umbo CV,HTML,1
Umbo CV,Cuda,1
Paperpile,Shell,1
Calibreworks,Go,1
Meruvian,PHP,1
Berlin,Emacs Lisp,1
Meruvian,Ruby,1
BlackLynx,PHP,1
University of Thessaly,JavaScript,1
University of Szeged,TeX,1
Blue Horseshoe,CSS,1
Whitecap Canada Inc.,C#,1
Owl Unit,VimL,1
University of Szeged,C#,1
University of Szeged,C,1
BugBuster,Python,1
University of Stavanger,Ruby,1
BugBuster,Shell,1
University of Stavanger,Python,1
University of Stavanger,Perl,1
University of Stavanger,PHP,1
University of Stavanger,JavaScript,1
BugBuster,VimL,1
Microsoft,Nginx,1
University of Pisa,Python,1
"Pamiris, Inc.",C++,1
CBS Local Digital Media Group,C#,1
University of Michigan,Shell,1
CBS Local Digital Media Group,HTML,1
University of Michigan,R,1
University of Michigan,Nix,1
University of Michigan,Java,1
Alliants,Emacs Lisp,1
Ajfek Software,Swift,1
Wipro,JavaScript,1
"On2 Technologies, Inc.",Ruby,1
http://gle.solar,Ruby,1
@Automattic ,Puppet,1
Nokia gate5,Python,1
@CustomerFX,CSS,1
http://gle.solar,C++,1
@DXMarkets ,JavaScript,1
http://cutbot.net/,Perl6,1
Nokia,Python,1
http://cutbot.net/,CSS,1
http://cutbot.net/,C++,1
http://cutbot.net/,C,1
Node Solutions Ltd,PHP,1
Node Solutions Ltd,JavaScript,1
gutocarvalho.net,CSS,1
glomper.com,Shell,1
Node Solutions Ltd,C++,1
glomper.com,Java,1
Node Solutions Ltd,C,1
glfernando,Python,1
NilOut LLC,HTML,1
NilOut LLC,Go,1
NilOut LLC,C,1
@betterup ,Python,1
"NetBrains, Sturdy Networks, and Usability.Pro",Python,1
dmc digital media center,Objective-C,1
@Automattic ,Groovy,1
"On2 Technologies, Inc.",Python,1
Wipro,Ruby,1
https://angel.co/trucktrack,Matlab,1
NthCode,JavaScript,1
211.90 Consulting LLC,C,1
211.90 Consulting LLC,C#,1
Odnoklassniki,C++,1
Northwestern University,VimL,1
Odnoklassniki,PHP,1
日日金科技有限公司,Ruby,1
211.90 Consulting LLC,JavaScript,1
211.90 Consulting LLC,Python,1
oneforty,C,1
211.90 Consulting LLC,Scala,1
27AE60,Python,1
Odnoklassniki,TypeScript,1
27AE60,VimL,1
iMAGINE MEDIA DESIGNS,JavaScript,1
iABLE inc.,Java,1
https://www.codepan.io,VimL,1
https://www.codepan.io,TeX,1
https://www.codepan.io,Python,1
"On2 Technologies, Inc.",C#,1
Northwestern University,Shell,1
https://www.codepan.io,CSS,1
https://angel.co/trucktrack,Shell,1
3angleTECH,Python,1
51NB,Shell,1
@sensiolabs SensioLabs,Java,1
dmc digital media center,HTML,1
@sensiolabs SensioLabs,Python,1
National University of Singapore,TeX,1
NLB,CoffeeScript,1
Adzerk,Jasmin,1
Adzerk,JavaScript,1
Adzerk,Perl,1
Agile N Co and Agile Tribu,CSS,1
"Opt-6 Products, LLC",CSS,1
Agile N Co and Agile Tribu,PHP,1
Agile N Co and Agile Tribu,XSLT,1
Xiamen YouJia Limited Company,Swift,1
Xiamen YouJia Limited Company,Ruby,1
Xiamen YouJia Limited Company,Python,1
"Opt-6 Products, LLC",Perl,1
"Opt-6 Products, LLC",Ruby,1
Mutual Mobile,Ruby,1
Xiamen YouJia Limited Company,HTML,1
Xiamen YouJia Limited Company,C++,1
Ajfek Software,PHP,1
"UchidaYoko co.,ltd",Shell,1
Wyndow,VimL,1
Wyndow,Shell,1
Overture Games,Haxe,1
Wyndow,Python,1
"Alexander & Tom, Inc.",JavaScript,1
Owl Unit,CSS,1
Wyndow,C,1
Adzerk,CSS,1
Adzerk,C++,1
Adzerk,C,1
National University of Singapore,CSS,1
National University of Singapore,Swift,1
National University of Singapore,Ruby,1
@thekompanee,PHP,1
@trello ,Ruby,1
@vinted ,CoffeeScript,1
cabytel,Ruby,1
@vinted ,Python,1
@vinted ,TeX,1
ABB,Python,1
ABB,Ruby,1
National University of Singapore,Perl,1
andCulture,JavaScript,1
Accenture,Java,1
andCulture,C#,1
andCulture,ActionScript,1
ancestry.com,Shell,1
ancestry.com,Python,1
ZoomRx,Objective-C,1
AbiEzzi Consulting,CSS,1
"Zerrtech, LLC",TypeScript,1
"Zerrtech, LLC",Python,1
AbiEzzi Consulting,HTML,1
"Zerrtech, LLC",CoffeeScript,1
AbiEzzi Consulting,Shell,1
"Parler Haut, Interagir Librement",CSS,1
Choomogo,Java,1
"UchidaYoko co.,ltd",Ruby,1
GovDelivery,C++,1
Greenflex,CoffeeScript,1
Greenflex,HTML,1
Greenflex,Lasso,1
Greenflex,Shell,1
Simmer,VimL,1
Simmer,Shell,1
Greenflex,TypeScript,1
HP,HTML,1
HPE,Arduino,1
HPE,C,1
HPE,C++,1
SilverStripe,TypeScript,1
HPE,CSS,1
HPE,Go,1
SilverStripe,CSS,1
Silibrina,VimL,1
HPE,Shell,1
HPE,TypeScript,1
Silibrina,PHP,1
Silibrina,CSS,1
Silibrina,C,1
HPE,VimL,1
Siemer for Hire,HCL,1
Rational Interaction,Python,1
Heriot Watt University,CSS,1
Greenflex,CSS,1
Gourmandy,Ruby,1
Shutterstock,C,1
Google,VimL,1
LBNL,Makefile,1
"Global Data 360, Inc.",C#,1
Software Engineering Professionals,Ruby,1
"Global Data 360, Inc.",C++,1
Socure,Scheme,1
"Global Data 360, Inc.",CSS,1
LBNL,Java,1
"Global Data 360, Inc.",XSLT,1
Socure,HTML,1
Socure,C,1
Globo.com,CSS,1
LBNL,CSS,1
Globo.com,VimL,1
Gogolook Inc.,Go,1
"Rakuten, Inc.",Objective-C,1
Gogolook Inc.,Ruby,1
Gogolook Inc.,Scala,1
Skyscanner,PureScript,1
"Rakuten, Inc.",Python,1
Google,HTML,1
Google,Lua,1
Google,PHP,1
Google,Perl,1
Google,Scala,1
"Rakuten, Inc.",Ruby,1
Heriot Watt University,Python,1
Heriot Watt University,TypeScript,1
"UchidaYoko co.,ltd",Java,1
Individual,Haskell,1
"Reenhanced, LLC",CSS,1
Samware,Shell,1
"SRAN Technology Co., Ltd",Shell,1
Individual,Ruby,1
"SRAN Technology Co., Ltd",Perl,1
"SRAN Technology Co., Ltd",PHP,1
Individual,Rust,1
Institut Pasteur,C,1
"SRAN Technology Co., Ltd",Go,1
Intelligent and Interactive Systems,C++,1
Internet Protocol Researcher / Software Consultant,C,1
Intrepid Pursuits,C++,1
Intrepid Pursuits,Java,1
Intrepid Pursuits,Python,1
"Reenhanced, LLC",JavaScript,1
Jobber,Shell,1
Iridescent,CSS,1
Iridescent,CoffeeScript,1
Remitly.com,C,1
Japan,C++,1
Japan,JavaScript,1
Remitly.com,C++,1
Remitly.com,JavaScript,1
Report Bee Edusys Pvt. Ltd.,R,1
Jayway,PHP,1
Reducify,Ruby,1
JoliCode,ActionScript,1
"Kobo, Inc.",JavaScript,1
Individual,C,1
Shipito LLC,Lua,1
Shipito LLC,JavaScript,1
Shipito LLC,HTML,1
"Kobo, Inc.",Go,1
"Kobo, Inc.",Clojure,1
Kinertia LLC,JavaScript,1
Hoelle Development,HTML,1
Hoelle Development,Ruby,1
Kinertia LLC,HTML,1
IMMUNIO,Java,1
"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",VimL,1
"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Shell,1
Red Hat,PHP,1
"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Python,1
IMMUNIO,Scala,1
IMMUNIO,VimL,1
"Imagine Easy Solutions, LLC",PHP,1
"Imagine Easy Solutions, LLC",Ruby,1
Schneider Electric DMS NS,Python,1
Schneider Electric DMS NS,PHP,1
Inbank Technologies,Java,1
Increments Inc.,CoffeeScript,1
JoliCode,Objective-C,1
Schneider Electric DMS NS,ActionScript,1
JoliCode,CSS,1
LBNL,Shell,1
Genius,HTML,1
Gamelion Studios,Java,1
"Toppa Consulting, LLC",CSS,1
Math and Pencil,JavaScript,1
Cronofy,HTML,1
Cronofy,Java,1
Cronofy,Python,1
Crowdcube,HTML,1
Crowdcube,JavaScript,1
Machine Doing,Shell,1
"DeNA Co.,Ltd.",Perl,1
Machine Doing,Ruby,1
The.Berlin.Factor,C++,1
Decimus Software,REALbasic,1
Machine Doing,Objective-C,1
The Tandem Group,JavaScript,1
Machine Doing,Clojure,1
Machine Doing,CSS,1
Machine Doing,C#,1
Mac Flow,Shell,1
DigitalH2O,VimL,1
121ecommerce,PHP,1
The Code Venture,VimL,1
Directi,JavaScript,1
Mac Flow,Python,1
Mac Flow,HTML,1
The Code Venture,CoffeeScript,1
The Code Venture,CSS,1
Pivotal Software Inc.,Python,1
"Toppa Consulting, LLC",JavaScript,1
Gamelion Studios,C#,1
Math and Pencil,Python,1
Meltwater,C++,1
Caviar,CSS,1
Certified Symfony developer,C,1
"Parler Haut, Interagir Librement",Lasso,1
Certified Symfony developer,Go,1
Media 24,Python,1
Certified Symfony developer,Makefile,1
Pivotal Software Inc.,CSS,1
Jobber,Objective-C,1
Cirrus Machina,Emacs Lisp,1
Cirrus Machina,Go,1
Cirrus Machina,Groovy,1
Cirrus Machina,JavaScript,1
Twitter,Python,1
Twitter,Objective-C,1
Cirrus Machina,Processing,1
Cirrus Machina,Shell,1
Twitter,CoffeeScript,1
Clowns and Puppets,HTML,1
Twitter,ActionScript,1
Clowns and Puppets,Objective-C,1
Clowns and Puppets,Rust,1
Transmode,JavaScript,1
Transmode,Java,1
Clowns and Puppets,Swift,1
Templateninja.net,Ruby,1
"Prolanceer, India",HTML,1
MIT PSFC,Shell,1
Templateninja.net,Java,1
Freelanceholic,CSS,1
Freelanceholic,PHP,1
Fresh Bits,Swift,1
Front End Developer @Anafore ,Python,1
Front End Developer @Anafore ,Ruby,1
Front End Developer @Anafore ,VimL,1
LINE Fukuoka,PHP,1
RG Sistemas,Java,1
FuseLMS,JavaScript,1
Futurice Oy,CoffeeScript,1
Futurniture,HTML,1
Futurniture,JavaScript,1
RG Sistemas,JavaScript,1
LINE Fukuoka,Emacs Lisp,1
"StoneDonut, LLC.",F#,1
"StoneDonut, LLC.",CSS,1
Fyber,Ruby,1
Fyber,Scala,1
G-mode,Emacs Lisp,1
G-mode,JavaScript,1
Stalos Tech,HTML,1
G-mode,Ruby,1
GameLearn,HTML,1
GameLearn,Objective-C,1
GameLearn,Ruby,1
Freeflow Digital,PHP,1
Fictive Kin,Python,1
Fictive Kin,Objective-C,1
Systemsmiths,HTML,1
Templateninja.net,ActionScript,1
MIT Class of 2018,VimL,1
MIT Class of 2018,C++,1
EPAM Systems,Shell,1
Logic Squad,XSLT,1
Ennova Research,JavaScript,1
Le Blog de Genma,PHP,1
Ennova Research,Shell,1
NthCode,CSS,1
Ericsson,C,1
Ericsson,C++,1
Systemsmiths,F#,1
Studio Sugarfree,ActionScript,1
Ericsson,CSS,1
Le Blog de Genma,JavaScript,1
Sugoi Software,PHP,1
Ericsson,Java,1
Ericsson,Rust,1
Subito.it,VimL,1
Subito.it,Swift,1
Escenic,HTML,1
Studio Sugarfree,Ruby,1
Escenic,TeX,1
LINE Fukuoka,Python,1
NthCode,C,1
