,company,language,Repositories_count
835,Ennova Research,Swift,2
836,Jayway,Java,2
837,Driw AS,C#,2
838,Driw AS,Groovy,2
839,Driw AS,Java,2
840,Driw AS,Perl,2
841,Driw AS,Ruby,2
842,Driw AS,Shell,2
843,Driw AS,VimL,2
844,EF Education First,PHP,2
845,EPAM Systems,Java,2
846,ElasticBox Inc,CSS,2
847,ElasticBox Inc,Go,2
848,ElasticBox Inc,HTML,2
849,ElasticBox Inc,JavaScript,2
850,Eloqua,Objective-C,2
851,Eloqua,PHP,2
852,Directi,C#,2
853,DigitalH2O,CSS,2
854,Defective Studios,Shell,2
855,Cronofy,C#,2
856,Certified Symfony developer,JavaScript,2
857,Certified Symfony developer,Shell,2
858,"Ciber, Inc.",JavaScript,2
859,Clowns and Puppets,Shell,2
860,Continuity Control,CSS,2
861,Continuity Control,Emacs Lisp,2
862,Crowdcube,CSS,2
863,Defective Studios,PHP,2
864,Crowdcube,Ruby,2
865,DTS,VimL,2
866,Data Processors,C,2
867,Decimus Software,Objective-C,2
868,Decimus Software,Ruby,2
869,Defective Studios,C++,2
870,Eloqua,Scala,2
871,Ennova Research,Ruby,2
872,Ericsson,Emacs Lisp,2
873,Increments Inc.,Shell,2
874,Heroku,Shell,2
875,Hibado,C++,2
876,Hibado,JavaScript,2
877,Hibado,Python,2
878,IMMUNIO,C,2
879,IMMUNIO,Ruby,2
880,Indian Institute of Technology,Java,2
881,Happy Nerd Shirts,Java,2
882,Individual,C++,2
883,Individual,Java,2
884,Individual,JavaScript,2
885,Ionata Digital,C,2
886,Ionata Digital,CoffeeScript,2
887,Iridescent,VimL,2
888,Happy Nerd Shirts,Shell,2
889,Happy Nerd Shirts,Groovy,2
890,Escenic,Python,2
891,GitHub,Emacs Lisp,2
892,Fictive Kin,CSS,2
893,FuseLMS,CSS,2
894,FuseLMS,Java,2
895,Futurniture,PHP,2
896,Fyber,JavaScript,2
897,Genius,Objective-C,2
898,GitHub,Java,2
899,Google,TeX,2
900,GitHub,Python,2
901,GitHub,Shell,2
902,"Global Data 360, Inc.",JavaScript,2
903,Globo.com,Ruby,2
904,Gogolook Inc.,Python,2
905,Google,CSS,2
906,Certified Symfony developer,CSS,2
907,Catalyst IT,VimL,2
908,Catalyst IT,TeX,2
909,@stampr ,C#,2
910,@Wildbit,C#,2
911,@Wildbit,Objective-C,2
912,@Wildbit,VimL,2
913,@betterup ,JavaScript,2
914,@betterup ,Ruby,2
915,@sensiolabs SensioLabs,CoffeeScript,2
916,@stampr ,PHP,2
917,@MaxCDN ,Objective-C,2
918,@stampr ,Ruby,2
919,@trello ,HTML,2
920,"AETROS.com, @aetros ",C,2
921,"AETROS.com, @aetros ",C++,2
922,"AETROS.com, @aetros ",Python,2
923,"AETROS.com, @aetros ",Shell,2
924,@MaxCDN ,Perl,2
925,@MaxCDN ,JavaScript,2
926,Adzerk,Common Lisp,2
927,383project,CSS,2
928,18F + personal projects,VimL,2
929,211.90 Consulting LLC,C++,2
930,211.90 Consulting LLC,CSS,2
931,211.90 Consulting LLC,HTML,2
932,27AE60,Shell,2
933,383project,C++,2
934,@AblePear,Rust,2
935,@MaxCDN ,CSS,2
936,@AblePear,Shell,2
937,@CustomerFX,C#,2
938,@CustomerFX,Python,2
939,@EastCoastProduct ,HTML,2
940,@EastCoastProduct ,Ruby,2
941,@EastCoastProduct ,Shell,2
942,AbiEzzi Consulting,JavaScript,2
943,Adzerk,Emacs Lisp,2
944,Catalyst IT,Shell,2
945,CEF,JavaScript,2
946,BugBuster,JavaScript,2
947,BuilderTREND,JavaScript,2
948,BuilderTREND,Kotlin,2
949,BuilderTREND,PHP,2
950,BuilderTREND,Shell,2
951,CEF,HTML,2
952,CEF,Ruby,2
953,BaristaVentures,JavaScript,2
954,CMU,C++,2
955,Calibreworks,JavaScript,2
956,Carnegie Mellon University,C++,2
957,Casewise,JavaScript,2
958,Catalyst IT,Objective-C,2
959,Catalyst IT,Rust,2
960,Blue Horseshoe,C#,2
961,"Available (Berlin, Hamburg, Athens, wordwide)",Shell,2
962,Adzerk,Java,2
963,Agiliq,Shell,2
964,Agile N Co and Agile Tribu,Java,2
965,Agile N Co and Agile Tribu,JavaScript,2
966,Agiliq,CoffeeScript,2
967,Agiliq,Java,2
968,Agiliq,Objective-C,2
969,Agiliq,Ruby,2
970,Agiliq,Swift,2
971,Automattic,Shell,2
972,Albert.io,Java,2
973,Alfresco,JavaScript,2
974,Alfresco,PHP,2
975,Alliants,VimL,2
976,Aloudly Education,CoffeeScript,2
977,"Android Engineer @ Musixmatch, Android GDE",Shell,2
978,Japan,Shell,2
979,,VimL,2
980,Nokia,Ruby,2
981,NLB,C++,2
982,Nokia gate5,C++,2
983,Mesa Funds,D,2
984,Lowe's Home Improvement,Java,2
985,Mascoteros.com,JavaScript,2
986,NLB,CSS,2
987,Marcel Digital,Python,2
988,Marcel Digital,JavaScript,2
989,Nokia,JavaScript,2
990,Nokia,Java,2
991,NLB,Lex,2
992,Mesa Funds,HTML,2
993,Microsoft,C#,2
994,NLB,XProc,2
995,"NetBrains, Sturdy Networks, and Usability.Pro",Java,2
996,LiSC,PHP,2
997,Kushview,Objective-C,2
998,Lighthouse Software Solutions,C#,2
999,Kushview,Ruby,2
1000,Naeka,Python,2
1001,LinkedIn,C++,2
1002,LinkedIn,Java,2
1003,LinkedIn,VimL,2
1004,"Localize, Techstars, YC",Ruby,2
1005,National University of Singapore,Python,2
1006,Microsoft,PHP,2
1007,National University of Singapore,JavaScript,2
1008,Lowe's Home Improvement,CoffeeScript,2
1009,Mesa Funds,Cuda,2
1010,Lowe's Home Improvement,PHP,2
1011,LBNL,JavaScript,2
1012,LBNL,Python,2
1013,MoneyDesktop,VimL,2
1014,Mozilla,CSS,2
1015,Lanetix,C#,2
1016,MeYou Health,HTML,2
1017,NLB,C,2
1018,Mylittlejob GmbH,Python,2
1019,LINE Fukuoka,CSS,2
1020,Media 24,JavaScript,2
1021,BaristaVentures,HTML,1
1022,"Android Engineer @ Musixmatch, Android GDE",TeX,1
1023,MoneyDesktop,C,1
1024,"Android Engineer @ Musixmatch, Android GDE",Python,1
1025,"Android Engineer @ Musixmatch, Android GDE",CSS,1
1026,Autodesk,Java,1
1027,"Android Engineer @ Musixmatch, Android GDE",C++,1
1028,"Android Engineer @ Musixmatch, Android GDE",Ada,1
1029,BaristaVentures,Emacs Lisp,1
1030,Owl Unit,Go,1
1031,MoneyDesktop,JavaScript,1
1032,Owl Unit,Python,1
1033,Alliants,Go,1
1034,BaristaVentures,Shell,1
1035,Webpuppies Singapore,PHP,1
1036,Angelic Computing,JavaScript,1
1037,Balabit,Python,1
1038,BaristaVentures,Common Lisp,1
1039,Apptaris Inc.,Ruby,1
1040,Automattic,PHP,1
1041,Autodesk,HTML,1
1042,VMware,Shell,1
1043,Autodesk,CoffeeScript,1
1044,VMware,Scala,1
1045,Autodesk,Arduino,1
1046,Atomix System Ltd,PHP,1
1047,Microsoft,PowerShell,1
1048,BaristaVentures,C,1
1049,Apptaris Inc.,JavaScript,1
1050,VMware,C,1
1051,"Available (Berlin, Hamburg, Athens, wordwide)",HTML,1
1052,Owl Unit,Objective-C,1
1053,Balabit,PHP,1
1054,Autodesk,Python,1
1055,Apptaris Inc.,C#,1
1056,Remitly.com,Objective-C,1
1057,University of Szeged,Java,1
1058,Berlin,C,1
1059,Calibreworks,CSS,1
1060,Meruvian,CSS,1
1061,Calibreworks,Ruby,1
1062,University of Michigan,Arduino,1
1063,Meruvian,C#,1
1064,"University of California, Irvine",Shell,1
1065,"University of California, Irvine",Python,1
1066,Carnegie Mellon University,HTML,1
1067,Carnegie Mellon University,Java,1
1068,"University of California, Irvine",Go,1
1069,Carnegie Mellon University,JavaScript,1
1070,Carnegie Mellon University,Lua,1
1071,Universal Solutions,PHP,1
1072,Universal Solutions,JavaScript,1
1073,Carnegie Mellon University,Matlab,1
1074,Paperpile,Python,1
1075,Unboxed Consulting,CoffeeScript,1
1076,Umbo CV,VimL,1
1077,Meltwater,Puppet,1
1078,Umbo CV,Python,1
1079,Umbo CV,Matlab,1
1080,Paperpile,Ruby,1
1081,Umbo CV,Jupyter Notebook,1
1082,Umbo CV,HTML,1
1083,Umbo CV,Cuda,1
1084,Paperpile,Shell,1
1085,Calibreworks,Go,1
1086,Meruvian,PHP,1
1087,Berlin,Emacs Lisp,1
1088,Meruvian,Ruby,1
1089,BlackLynx,PHP,1
1090,University of Thessaly,JavaScript,1
1091,University of Szeged,TeX,1
1092,Blue Horseshoe,CSS,1
1093,Whitecap Canada Inc.,C#,1
1094,Owl Unit,VimL,1
1095,University of Szeged,C#,1
1096,University of Szeged,C,1
1097,BugBuster,Python,1
1098,University of Stavanger,Ruby,1
1099,BugBuster,Shell,1
1100,University of Stavanger,Python,1
1101,University of Stavanger,Perl,1
1102,University of Stavanger,PHP,1
1103,University of Stavanger,JavaScript,1
1104,BugBuster,VimL,1
1105,Microsoft,Nginx,1
1106,University of Pisa,Python,1
1107,"Pamiris, Inc.",C++,1
1108,CBS Local Digital Media Group,C#,1
1109,University of Michigan,Shell,1
1110,CBS Local Digital Media Group,HTML,1
1111,University of Michigan,R,1
1112,University of Michigan,Nix,1
1113,University of Michigan,Java,1
1114,Alliants,Emacs Lisp,1
1115,Ajfek Software,Swift,1
1116,Wipro,JavaScript,1
1117,"On2 Technologies, Inc.",Ruby,1
1118,http://gle.solar,Ruby,1
1119,@Automattic ,Puppet,1
1120,Nokia gate5,Python,1
1121,@CustomerFX,CSS,1
1122,http://gle.solar,C++,1
1123,@DXMarkets ,JavaScript,1
1124,http://cutbot.net/,Perl6,1
1125,Nokia,Python,1
1126,http://cutbot.net/,CSS,1
1127,http://cutbot.net/,C++,1
1128,http://cutbot.net/,C,1
1129,Node Solutions Ltd,PHP,1
1130,Node Solutions Ltd,JavaScript,1
1131,gutocarvalho.net,CSS,1
1132,glomper.com,Shell,1
1133,Node Solutions Ltd,C++,1
1134,glomper.com,Java,1
1135,Node Solutions Ltd,C,1
1136,glfernando,Python,1
1137,NilOut LLC,HTML,1
1138,NilOut LLC,Go,1
1139,NilOut LLC,C,1
1140,@betterup ,Python,1
1141,"NetBrains, Sturdy Networks, and Usability.Pro",Python,1
1142,dmc digital media center,Objective-C,1
1143,@Automattic ,Groovy,1
1144,"On2 Technologies, Inc.",Python,1
1145,Wipro,Ruby,1
1146,https://angel.co/trucktrack,Matlab,1
1147,NthCode,JavaScript,1
1148,211.90 Consulting LLC,C,1
1149,211.90 Consulting LLC,C#,1
1150,Odnoklassniki,C++,1
1151,Northwestern University,VimL,1
1152,Odnoklassniki,PHP,1
1153,日日金科技有限公司,Ruby,1
1154,211.90 Consulting LLC,JavaScript,1
1155,211.90 Consulting LLC,Python,1
1156,oneforty,C,1
1157,211.90 Consulting LLC,Scala,1
1158,27AE60,Python,1
1159,Odnoklassniki,TypeScript,1
1160,27AE60,VimL,1
1161,iMAGINE MEDIA DESIGNS,JavaScript,1
1162,iABLE inc.,Java,1
1163,https://www.codepan.io,VimL,1
1164,https://www.codepan.io,TeX,1
1165,https://www.codepan.io,Python,1
1166,"On2 Technologies, Inc.",C#,1
1167,Northwestern University,Shell,1
1168,https://www.codepan.io,CSS,1
1169,https://angel.co/trucktrack,Shell,1
1170,3angleTECH,Python,1
1171,51NB,Shell,1
1172,@sensiolabs SensioLabs,Java,1
1173,dmc digital media center,HTML,1
1174,@sensiolabs SensioLabs,Python,1
1175,National University of Singapore,TeX,1
1176,NLB,CoffeeScript,1
1177,Adzerk,Jasmin,1
1178,Adzerk,JavaScript,1
1179,Adzerk,Perl,1
1180,Agile N Co and Agile Tribu,CSS,1
1181,"Opt-6 Products, LLC",CSS,1
1182,Agile N Co and Agile Tribu,PHP,1
1183,Agile N Co and Agile Tribu,XSLT,1
1184,Xiamen YouJia Limited Company,Swift,1
1185,Xiamen YouJia Limited Company,Ruby,1
1186,Xiamen YouJia Limited Company,Python,1
1187,"Opt-6 Products, LLC",Perl,1
1188,"Opt-6 Products, LLC",Ruby,1
1189,Mutual Mobile,Ruby,1
1190,Xiamen YouJia Limited Company,HTML,1
1191,Xiamen YouJia Limited Company,C++,1
1192,Ajfek Software,PHP,1
1193,"UchidaYoko co.,ltd",Shell,1
1194,Wyndow,VimL,1
1195,Wyndow,Shell,1
1196,Overture Games,Haxe,1
1197,Wyndow,Python,1
1198,"Alexander & Tom, Inc.",JavaScript,1
1199,Owl Unit,CSS,1
1200,Wyndow,C,1
1201,Adzerk,CSS,1
1202,Adzerk,C++,1
1203,Adzerk,C,1
1204,National University of Singapore,CSS,1
1205,National University of Singapore,Swift,1
1206,National University of Singapore,Ruby,1
1207,@thekompanee,PHP,1
1208,@trello ,Ruby,1
1209,@vinted ,CoffeeScript,1
1210,cabytel,Ruby,1
1211,@vinted ,Python,1
1212,@vinted ,TeX,1
1213,ABB,Python,1
1214,ABB,Ruby,1
1215,National University of Singapore,Perl,1
1216,andCulture,JavaScript,1
1217,Accenture,Java,1
1218,andCulture,C#,1
1219,andCulture,ActionScript,1
1220,ancestry.com,Shell,1
1221,ancestry.com,Python,1
1222,ZoomRx,Objective-C,1
1223,AbiEzzi Consulting,CSS,1
1224,"Zerrtech, LLC",TypeScript,1
1225,"Zerrtech, LLC",Python,1
1226,AbiEzzi Consulting,HTML,1
1227,"Zerrtech, LLC",CoffeeScript,1
1228,AbiEzzi Consulting,Shell,1
1229,"Parler Haut, Interagir Librement",CSS,1
1230,Choomogo,Java,1
1231,"UchidaYoko co.,ltd",Ruby,1
1232,GovDelivery,C++,1
1233,Greenflex,CoffeeScript,1
1234,Greenflex,HTML,1
1235,Greenflex,Lasso,1
1236,Greenflex,Shell,1
1237,Simmer,VimL,1
1238,Simmer,Shell,1
1239,Greenflex,TypeScript,1
1240,HP,HTML,1
1241,HPE,Arduino,1
1242,HPE,C,1
1243,HPE,C++,1
1244,SilverStripe,TypeScript,1
1245,HPE,CSS,1
1246,HPE,Go,1
1247,SilverStripe,CSS,1
1248,Silibrina,VimL,1
1249,HPE,Shell,1
1250,HPE,TypeScript,1
1251,Silibrina,PHP,1
1252,Silibrina,CSS,1
1253,Silibrina,C,1
1254,HPE,VimL,1
1255,Siemer for Hire,HCL,1
1256,Rational Interaction,Python,1
1257,Heriot Watt University,CSS,1
1258,Greenflex,CSS,1
1259,Gourmandy,Ruby,1
1260,Shutterstock,C,1
1261,Google,VimL,1
1262,LBNL,Makefile,1
1263,"Global Data 360, Inc.",C#,1
1264,Software Engineering Professionals,Ruby,1
1265,"Global Data 360, Inc.",C++,1
1266,Socure,Scheme,1
1267,"Global Data 360, Inc.",CSS,1
1268,LBNL,Java,1
1269,"Global Data 360, Inc.",XSLT,1
1270,Socure,HTML,1
1271,Socure,C,1
1272,Globo.com,CSS,1
1273,LBNL,CSS,1
1274,Globo.com,VimL,1
1275,Gogolook Inc.,Go,1
1276,"Rakuten, Inc.",Objective-C,1
1277,Gogolook Inc.,Ruby,1
1278,Gogolook Inc.,Scala,1
1279,Skyscanner,PureScript,1
1280,"Rakuten, Inc.",Python,1
1281,Google,HTML,1
1282,Google,Lua,1
1283,Google,PHP,1
1284,Google,Perl,1
1285,Google,Scala,1
1286,"Rakuten, Inc.",Ruby,1
1287,Heriot Watt University,Python,1
1288,Heriot Watt University,TypeScript,1
1289,"UchidaYoko co.,ltd",Java,1
1290,Individual,Haskell,1
1291,"Reenhanced, LLC",CSS,1
1292,Samware,Shell,1
1293,"SRAN Technology Co., Ltd",Shell,1
1294,Individual,Ruby,1
1295,"SRAN Technology Co., Ltd",Perl,1
1296,"SRAN Technology Co., Ltd",PHP,1
1297,Individual,Rust,1
1298,Institut Pasteur,C,1
1299,"SRAN Technology Co., Ltd",Go,1
1300,Intelligent and Interactive Systems,C++,1
1301,Internet Protocol Researcher / Software Consultant,C,1
1302,Intrepid Pursuits,C++,1
1303,Intrepid Pursuits,Java,1
1304,Intrepid Pursuits,Python,1
1305,"Reenhanced, LLC",JavaScript,1
1306,Jobber,Shell,1
1307,Iridescent,CSS,1
1308,Iridescent,CoffeeScript,1
1309,Remitly.com,C,1
1310,Japan,C++,1
1311,Japan,JavaScript,1
1312,Remitly.com,C++,1
1313,Remitly.com,JavaScript,1
1314,Report Bee Edusys Pvt. Ltd.,R,1
1315,Jayway,PHP,1
1316,Reducify,Ruby,1
1317,JoliCode,ActionScript,1
1318,"Kobo, Inc.",JavaScript,1
1319,Individual,C,1
1320,Shipito LLC,Lua,1
1321,Shipito LLC,JavaScript,1
1322,Shipito LLC,HTML,1
1323,"Kobo, Inc.",Go,1
1324,"Kobo, Inc.",Clojure,1
1325,Kinertia LLC,JavaScript,1
1326,Hoelle Development,HTML,1
1327,Hoelle Development,Ruby,1
1328,Kinertia LLC,HTML,1
1329,IMMUNIO,Java,1
1330,"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",VimL,1
1331,"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Shell,1
1332,Red Hat,PHP,1
1333,"SeeClickFix (seeclickfix.com), CityBits (citybitsapp.com)",Python,1
1334,IMMUNIO,Scala,1
1335,IMMUNIO,VimL,1
1336,"Imagine Easy Solutions, LLC",PHP,1
1337,"Imagine Easy Solutions, LLC",Ruby,1
1338,Schneider Electric DMS NS,Python,1
1339,Schneider Electric DMS NS,PHP,1
1340,Inbank Technologies,Java,1
1341,Increments Inc.,CoffeeScript,1
1342,JoliCode,Objective-C,1
1343,Schneider Electric DMS NS,ActionScript,1
1344,JoliCode,CSS,1
1345,LBNL,Shell,1
1346,Genius,HTML,1
1347,Gamelion Studios,Java,1
1348,"Toppa Consulting, LLC",CSS,1
1349,Math and Pencil,JavaScript,1
1350,Cronofy,HTML,1
1351,Cronofy,Java,1
1352,Cronofy,Python,1
1353,Crowdcube,HTML,1
1354,Crowdcube,JavaScript,1
1355,Machine Doing,Shell,1
1356,"DeNA Co.,Ltd.",Perl,1
1357,Machine Doing,Ruby,1
1358,The.Berlin.Factor,C++,1
1359,Decimus Software,REALbasic,1
1360,Machine Doing,Objective-C,1
1361,The Tandem Group,JavaScript,1
1362,Machine Doing,Clojure,1
1363,Machine Doing,CSS,1
1364,Machine Doing,C#,1
1365,Mac Flow,Shell,1
1366,DigitalH2O,VimL,1
1367,121ecommerce,PHP,1
1368,The Code Venture,VimL,1
1369,Directi,JavaScript,1
1370,Mac Flow,Python,1
1371,Mac Flow,HTML,1
1372,The Code Venture,CoffeeScript,1
1373,The Code Venture,CSS,1
1374,Pivotal Software Inc.,Python,1
1375,"Toppa Consulting, LLC",JavaScript,1
1376,Gamelion Studios,C#,1
1377,Math and Pencil,Python,1
1378,Meltwater,C++,1
1379,Caviar,CSS,1
1380,Certified Symfony developer,C,1
1381,"Parler Haut, Interagir Librement",Lasso,1
1382,Certified Symfony developer,Go,1
1383,Media 24,Python,1
1384,Certified Symfony developer,Makefile,1
1385,Pivotal Software Inc.,CSS,1
1386,Jobber,Objective-C,1
1387,Cirrus Machina,Emacs Lisp,1
1388,Cirrus Machina,Go,1
1389,Cirrus Machina,Groovy,1
1390,Cirrus Machina,JavaScript,1
1391,Twitter,Python,1
1392,Twitter,Objective-C,1
1393,Cirrus Machina,Processing,1
1394,Cirrus Machina,Shell,1
1395,Twitter,CoffeeScript,1
1396,Clowns and Puppets,HTML,1
1397,Twitter,ActionScript,1
1398,Clowns and Puppets,Objective-C,1
1399,Clowns and Puppets,Rust,1
1400,Transmode,JavaScript,1
1401,Transmode,Java,1
1402,Clowns and Puppets,Swift,1
1403,Templateninja.net,Ruby,1
1404,"Prolanceer, India",HTML,1
1405,MIT PSFC,Shell,1
1406,Templateninja.net,Java,1
1407,Freelanceholic,CSS,1
1408,Freelanceholic,PHP,1
1409,Fresh Bits,Swift,1
1410,Front End Developer @Anafore ,Python,1
1411,Front End Developer @Anafore ,Ruby,1
1412,Front End Developer @Anafore ,VimL,1
1413,LINE Fukuoka,PHP,1
1414,RG Sistemas,Java,1
1415,FuseLMS,JavaScript,1
1416,Futurice Oy,CoffeeScript,1
1417,Futurniture,HTML,1
1418,Futurniture,JavaScript,1
1419,RG Sistemas,JavaScript,1
1420,LINE Fukuoka,Emacs Lisp,1
1421,"StoneDonut, LLC.",F#,1
1422,"StoneDonut, LLC.",CSS,1
1423,Fyber,Ruby,1
1424,Fyber,Scala,1
1425,G-mode,Emacs Lisp,1
1426,G-mode,JavaScript,1
1427,Stalos Tech,HTML,1
1428,G-mode,Ruby,1
1429,GameLearn,HTML,1
1430,GameLearn,Objective-C,1
1431,GameLearn,Ruby,1
1432,Freeflow Digital,PHP,1
1433,Fictive Kin,Python,1
1434,Fictive Kin,Objective-C,1
1435,Systemsmiths,HTML,1
1436,Templateninja.net,ActionScript,1
1437,MIT Class of 2018,VimL,1
1438,MIT Class of 2018,C++,1
1439,EPAM Systems,Shell,1
1440,Logic Squad,XSLT,1
1441,Ennova Research,JavaScript,1
1442,Le Blog de Genma,PHP,1
1443,Ennova Research,Shell,1
1444,NthCode,CSS,1
1445,Ericsson,C,1
1446,Ericsson,C++,1
1447,Systemsmiths,F#,1
1448,Studio Sugarfree,ActionScript,1
1449,Ericsson,CSS,1
1450,Le Blog de Genma,JavaScript,1
1451,Sugoi Software,PHP,1
1452,Ericsson,Java,1
1453,Ericsson,Rust,1
1454,Subito.it,VimL,1
1455,Subito.it,Swift,1
1456,Escenic,HTML,1
1457,Studio Sugarfree,Ruby,1
1458,Escenic,TeX,1
1459,LINE Fukuoka,Python,1
1460,NthCode,C,1
