,company,language,Repositories_count
190,Independent contractor,TypeScript,9
191,Simmer,Ruby,9
192,Red Hat,JavaScript,9
193,The Guardian,JavaScript,9
194,@Automattic ,JavaScript,9
195,Fictive Kin,JavaScript,9
196,@imin-ltd,CSS,9
197,Jinlabs Ltd,PHP,9
198,Opal Labs,Ruby,9
199,Lainsoft Foundation,JavaScript,9
200,W+K,Ruby,9
201,Carnegie Mellon University,Python,9
202,Coventry University,Swift,9
203,Red Hat,Ruby,9
204,EF Education First,JavaScript,9
205,Tascent,VHDL,9
206,Autodesk,Ruby,9
207,Red Hat,Python,8
208,The Tandem Group,Ruby,8
209,Fitbit,JavaScript,8
210,Heriot Watt University,JavaScript,8
211,Inbank Technologies,Ruby,8
212,LinkedIn,Python,8
213,https://angel.co/trucktrack,JavaScript,8
214,Defective Studios,Java,8
215,Happy Nerd Shirts,Ruby,8
216,CEF,Java,8
217,Rational Interaction,JavaScript,8
218,Mesa Funds,C#,8
219,Agiliq,JavaScript,8
220,Secret,Ruby,8
221,OpenLearning Global Pty Ltd.,Java,8
222,"Opt-6 Products, LLC",Objective-C,8
223,Twitter,Scala,8
224,Rackspace,Python,8
225,GameLearn,Java,8
226,Axion Commerce,JavaScript,8
227,TBODA Pty Ltd,JavaScript,8
228,Logic Squad,Java,8
229,DTS,Java,8
230,Ricepo,C#,8
231,"Android Engineer @ Musixmatch, Android GDE",Java,8
232,Vide Infra Group,JavaScript,8
233,GitHub,C,8
234,meliuz,Python,8
235,YP Holdings,Go,8
236,La Magia en Arda,PHP,8
237,Freelance WordPress Dev,CSS,8
238,@DXMarkets ,Python,8
239,REA Group,JavaScript,8
240,"Ustream, Inc.",JavaScript,8
241,MeYou Health,JavaScript,8
242,Square,Python,8
243,Stripe,C,8
244,Pivotal Software Inc.,Ruby,8
245,Appetica,Jupyter Notebook,8
246,Appetica,JavaScript,8
247,Modyo,JavaScript,8
248,Nokia gate5,Ruby,8
249,Appetica,C++,8
250,Driw AS,JavaScript,8
251,Simpleweb,JavaScript,8
252,Front End Developer @Anafore ,HTML,8
253,18F + personal projects,Python,8
254,Thousand Eyes Inc.,Python,8
255,HPE,Nimrod,7
256,Shutterstock,Ruby,7
257,Simmer,JavaScript,7
258,Owl Unit,Clojure,7
259,Lainsoft Foundation,Objective-C,7
260,Kushview,C++,7
261,"Global Data 360, Inc.",XQuery,7
262,Red Hat,CSS,7
263,Transmode,Shell,7
264,Webpuppies Singapore,Ruby,7
265,Google,Java,7
266,University of Pisa,C++,7
267,DroniX Dev Team,JavaScript,6
268,HPE,Python,6
269,The.Berlin.Factor,Java,6
270,Freelance WordPress Dev,JavaScript,6
271,Square,R,6
272,Square,JavaScript,6
273,Marcel Digital,Shell,6
274,"Expedia, Inc.",Java,6
275,"Plecco Technologies, Inc.",Shell,6
276,Socure,Ruby,6
277,Defective Studios,JavaScript,6
278,Espians,JavaScript,6
279,"Toppa Consulting, LLC",Ruby,6
280,Codezilla Limited UK - Consulting,PHP,6
281,The Guardian,Scala,6
282,Espians,Emacs Lisp,6
283,Machine Doing,JavaScript,6
284,Escenic,Emacs Lisp,6
285,Sugoi Software,Python,6
286,DigitalH2O,Python,6
287,HP,Java,6
288,Electric Labs,Objective-C,6
289,Greenflex,JavaScript,6
290,ElasticBox Inc,Python,6
291,Skulski Research Group,Ruby,6
292,Tascent,C++,6
293,Siemer for Hire,C#,6
294,Cospix LLC,Shell,6
295,Coventry University,JavaScript,6
296,DroniX Dev Team,Lua,6
297,Ferocia,Ruby,6
298,Star Ruby Media,Ruby,6
299,Clock Limited,Python,6
300,Kryptnostic,Python,6
301,blaste,Python,6
302,Kryptnostic,Groovy,6
303,Kryptnostic,Java,6
304,Sands Consulting Sdn. Bhd.,HTML,6
305,Kryptnostic,PHP,6
306,"Ustream, Inc.",Go,6
307,Basho Technologies,CSS,6
308,"Rakuten, Inc.",Erlang,6
309,Basho Technologies,Objective-C,6
310,Independent contractor,Ruby,6
311,Blue Bits,Java,6
312,Blue Horseshoe,JavaScript,6
313,University of Stavanger,Java,6
314,Schneider Electric DMS NS,JavaScript,6
315,Kryptnostic,CSS,6
316,blaste,C,6
317,REA Group,C++,6
318,"Zerrtech, LLC",JavaScript,6
319,Yagni Technologies,C++,6
